Title,Group audio,Violin audio,Singing audio,Guitar audio,Percussion audio,Music score,Lyrics,Translations,Plurilingual songs,History,Videos,Beneficiaries,Difficulty Level,Musical style,Style musical,Thèmes,Themes,Country/Geographic origin,Pays/origine géographique,Language of origin,Langue d'origine,IS A SONG,NEWSLETTER,,,,,,,,,,
APALAIS MENESS,no,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,Traditional music,Musique traditionnelle,,,"Latvia, Northern Europe","Lituanie, Europe du nord",Latvian,Letton,FALSE,,,,,,,,,,,
AR BARZH PAOUR,no,no,no,no,no,Basil,Basil,Basil,NA,Basil,NA,,,,,,,,,,,,,,,,,,,,,,
ARARUNA,no,no,no,no,no,no-> Pierre,Indigenous brazilian : yes,"Indigenous brazilian->English : yes
Indigenous brazilian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, traditional song","Musique traditionnelle, Chant traditionnel","courage, encouragement, espoir, liberté, persévérance, soutien, voler","Inidigenous Brazilian: Courage, encouragement, freedom, fly, hope, perseverance, support","Brazil, South America ","Brésil, Amérique du Sud ",Indigenous brazilian,Brésilien indigène ,TRUE,,,,,,,,,,,
ARI IM SOKHAK,yes,no,no,no,no,no,no,no,NA,no,NA,Children,Easy,Lullaby,Berceuse,,,"Armenia, Western Asia","Arménie, Asie de l'Ouest",Armenian,Arménien,TRUE,,,,,,,,,,,
ARMSTRONG,no,no,no,no,no,no,French : no,French->English : yes,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Jazz, Traditional song, Negro spiritual jazz ","Jazz, Chant traditionnel, Negro spiritual jazz",,,"United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
AUSTOSAS SAULES DZIESMA,no,no,no,no,no,yes,Latvian : yes,"Latvian->French : yes
Latvian->English : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional song,Chant traditionnel,"air, connexion avec les éléments de la nature, eau, émotions, feu, forêt, liberté, montagnes, nature, soleil, Terre, vie","Latvian: Air, connection with the elemens of nature, Earth, emotions, fire, forest, 
freedom, life, mountains, nature, sun, water","Latvia, Northern Europe","Lituanie, Europe du nord",Latvian,Letton,TRUE,,,,,,,,,,,
BAMBALI BAMBA,no,no,no,no,no,yes,Wolof : yes,"Wolof->French : yes
Wolof->English : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers
Adults
Seniors",Easy,Traditional song,Chant traditionnelle,"bateau, décision, direction, mouvement, rame","Wolof: boat, decision, direction, movement, oar","Senegal, West Africa","Senegal, Afrique de l'Ouest",Wolof,Wolof,TRUE,,,,,,,,,,,
BANAHA,no,no,no,no,no,no,no,no,NA,"French : yes
English : yes",NA,,,,,,,,,,,,,,,,,,,,,,
BARESHA,no,no,no,no,no,yes,NA,NA,NA,no,NA,"Children
Teenagers
Adults
Seniors",Advanced,Traditional music,Musique traditionnelle,,,"Albania, South-Eastern Europe","Albanie, Europe du Sud-Est",NA,NA,FALSE,,,,,,,,,,,
BASKIROS,yes,no,no,no,no,yes,Hungarian : yes,"Hungarian->English : yes
Hungarian->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional song,Chant traditionnel,"animaux, âne, cheval, mensonge, moustiques, musique traditionnelle","Hungarian: Animals, donkey, horse, lie, mosquitoes, traditional music","Central Europe, Eastern Europe, Western Europe","Europe centrale, Europe de l'Est, Europe de l'Ouest",Yiddish,Yiddish,TRUE,,,,,,,,,,,
