Title,Group audio,Violin audio,Singing audio,Guitar audio,Percussion audio,Music score,Lyrics,Translations,Plurilingual songs,History,Videos,Beneficiaries,Difficulty Level,Musical style,Style musical,Thèmes,Themes,Country/Geographic origin,Pays/origine géographique,Language of origin,Langue d'origine,IS A SONG,NEWSLETTER,,,,,,,,,,
D'R HANS IM SCHNOKELOCH,no,no,no,no,no,yes,Alsatian : yes,"Alsatian->French : yes
Alsatian->English : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional song,Chanson traditionnelle,,,"France, Western Europe","France, Europe de l'Ouest",Alsacien,Alsacien,TRUE,,,,,,,,,,,
DAMAT HALAYI,no,no,no,no,no,no,Turkish : yes,"Turkish->English : yes
Turkish->French : yes",NA,no,NA,"Teenagers
Adults",Advanced,"Traditional dance, Traditional music","
Danse traditionnelle, Musique traditionnelle",,,"Turkey, Western Asia, South-Eastern Europe","Turquie, Asie de l'Ouest, Europe du Sud-Est",Turkish,Turc,TRUE,,,,,,,,,,,
DANS LA FORET LOINTAINE,no,no,no,no,no,yes,"1. French : yes
2. Spanish : yes
3. Italian : yes","1. French->English : yes
2.1. Spanish->English : yes
2.2. Spanish->French : yes
3.1. Italian->English : yes
3.2. Italian->French : yes","1. French : DANS LA FORET LOINTAINE
2. Spanish : EL CUCO CANTA ALEGRE
3. Italian : IL CUCU",no,NA,Children,Easy,Children song,Chanson enfantine,"Animaux, Coucou, hibou, la forêt, la nature","Italian: Birds, cuckoo, nature, wake-up
Spanish: Joy, nature, birds","Italy, Southern Europe","Italie, Europe du Sud",Italian,Italien,TRUE,,,,,,,,,,,
DANSE BAVAROISE ,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Traditional dance, Traditional music","
Danse traditionnelle, Musique traditionnelle",,,"Austria, Germany, Western Europe","Autriche, Allemagne, Europe de l'Ouest",NA,NA,FALSE,,,,,,,,,,,
DANSE DE L'OURS,no,no,NA,no,no,yes,NA,NA,NA,no,no,"Children
Teenagers
Adults",Intermediate,"Traditional dance, Traditional music","
Danse traditionnelle, Musique traditionnelle",,,"Central Europe, Western Europe","Europe centrale, Europe de l'Ouest",NA,NA,FALSE,,,,,,,,,,,
DANSE DE RECRUTEMENT,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,"Traditional dance, Traditional music, Verbunkos","
Danse de recrutement, Danse traditionnelle, Musique traditionnelle, Verbunkos",,,"Hungary, Central Europe","Hongrie, Europe centrale",NA,NA,FALSE,,,,,,,,,,,
DANSE ROUMAINE,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional dance, Traditional music","
Danse traditionnelle, Musique traditionnelle",,,"Romania, Central Europe, Eastern Europe, Western Europe","Roumanie, Europe centrale, Europe de l'Est, Europe de l'Ouest",NA,NA,FALSE,,,,,,,,,,,
DANSES HONGROISES,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional dance, Traditional music","
Danse traditionnelle, Musique traditionnelle",,,"Hungary, Central Europe","Hongrie, Europe centrale",NA,NA,FALSE,,,,,,,,,,,
DANSES IRLANDAISES,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Celtic music, Traditional dance, Traditional music","Danse traditionnelle, Musique celtique, Musique traditionnelle",,,"Ireland, North-Western Europe","Irlande, Europe du Nord-Ouest",NA,NA,FALSE,,,,,,,,,,,
DANSONS LA CAPUCINE,yes,yes,no,no,no,yes,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,Children,Easy,"Traditional dance, Traditional music","Danse traditionnelle, Musique traditionnelle","Comparaison, danse, fête, frustration, pauvreté",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
DECEMBER 1963 (OH WHAT A NIGHT),no,no,no,no,no,no,"1. English : yes
2. French : yes","1. English->French : yes
2. French->English : yes","1. English : DECEMBER 1963 (OH WHAT A NIGHT)
2. French : CETTE ANNEE-LA",no,NA,"Adults 
Seniors",Intermediate,Pop ,Pop,,,"United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
DEDINO KOLO ,yes,no,NA,no,no,yes,NA,NA,NA,no -> Anna,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Kolo, Traditional dance, Traditional music","Danse traditionnelle, Kolo, Musique traditionnelle",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",FALSE,,,,,,,,,,,
DEMEDIM MI,no,no,no,no,no,yes,Turkish : yes,"Turkish->English : yes
Turkish->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chant traditionnel,,,"Turkey, Western Asia, South-Eastern Europe","Turquie, Asie de l'Ouest, Europe du Sud-Est",Turkish,Turc,FAUX,,,,,,,,,,,
DER MAIE,yes,no,"Alsatian lyrics in rythm : yes
Notes : yes
Scale : yes
Alsatian slow speed : yes
Alsatian original speed : yes",no,no,yes,French&Alsatian : yes,"French&Alsatian->French : no
French&Alsatian->English : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional song,Chant traditionnel,"La beauté du mois de mai, liberté, nature, quête du bonheur, vie, fleurs","Alsatian: Beauty of the month of May, flowers, freedom, life, nature, pursuit of hapiness","Alsace, France, Western Europe","Alsace, France, Europe de l'Ouest",Alsatian,Alsacien,TRUE,,,,,,,,,,,
DER MOND IST AUFGEGANGEN,yes,no,"German lyrics in rhythm : yes
Notes : no
Scale : no
German slow speed : yes
German original speed : yes",no,no,yes,German : yes,"German->English : yes
German->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Lullaby, Traditional song","Berceuse, Chant traditionnel",,"German: Beauty of nature, calm, contrast between day and night, dawn, moon, 
nature, stars, sweetness, the wonder of the moon and stars, 
the forest, tranquility","Germany, Western Europe","Allemagne, Europe de l'Ouest",German,Allemand,TRUE,,,,,,,,,,,
DERE GELIYOR DERE,no,no,no,no,"Cajon Original speed : yes
Cajon Slow speed : yes
Cajon Rhythmic pattern : yes",no,"1. Turkish : yes
2. French : yes","1.1. Turkish->English : yes
1.2. Turkish->French : yes
2.1. French->English : yes","1. Turkish : DERE GELIYOR DERE
2. French : CELUI QUI VIENDRA LUNDI",no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional song, Traditional music ","Chant traditionnel, Musique traditionnelle",,,"Turkey, Western Asia, South-Eastern Europe","Turquie, Asie de l'Ouest, Europe du Sud-Est",Turkish,Turc,TRUE,,,,,,,,,,,
DETSA SU UKRAS SVETA,yes,no,no,no,no,no,no,no,NA,no,NA,Children,Easy,Children's song,Chanson enfantine,,,"Serbia, Balkans, Eastern Europe","Serbie, Balkans, Europe de l'Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
DIE GEDANKEN SIND FREI,yes,no,no,no,no,yes,German : yes,"German->English : yes
German->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional song,Chant traditionnel,,"German: Freedom of thought, independence of thought, individual freedom, ideas, resistance ","Germany, Western Europe","Allemagne, Europe de l'Ouest",German,Allemand,TRUE,,,,,,,,,,,
DIRI DIRI,yes,no,no,no,no,yes,Turkish : yes,"Turkish->English : yes
Turkish->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Romane Chave, Traditional song","Chant traditionnel, Romane Chave, Tsigane",,"Turkish: Betrayal, beauty, conjugal violence, culpavility, death, jealousy, moral question, 
possession, woman, infidelity ","Turkey, Western Asia, South-Eastern Europe","Turquie, Asie de l'Ouest, Europe du Sud-Est",Turkish,Turc,TRUE,,,,,,,,,,,
DNI TYZHNYA,yes,"Notes : yes
Scale : no
Slow speed : yes
Original speed : yes",yes,no,no,yes,Ukrainian : yes,"Ukrainian->English : yes
Ukrainian->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional song, Tryndytchka","Chant traditionnel, Tryndytchka",,"Ukrainian: Betrayal, day of the week, disappointment, flowers, hope, lie, love, loss of trust, répétition of the cycle, solitude, strawberry ","Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
DOLCENERA,no,no,no,no,no,no,Italian : yes,"Italian->French : yes
Italian->English : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",?,?,?,,,"Italy, Southern Europe","Italie, Europe du Sud",Italian,Italien,TRUE,,,,,,,,,,,
DOUCE FRANCE,yes,"Notes : yes
Scale : yes
Slow speed : yes
Original speed : yes","French lyrics in rhythm : yes
notes : yes
scale : yes
French slow speed : yes
French original speed : yes",no,no,yes,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Chanson,Chanson française,"Amour pour la France, attachement, idéalisation du passé, nostalgie de l'enfance, 
simplicité du passé, village natal",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
DRAGOUSTA MIA,yes,no,NA,no,no,yes,NA,NA,NA,no -> Anna,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Traditional music,Musique traditionnelle,,,Europe,Europe,Romani,Romani,FALSE,,,,,,,,,,,
DREMLE MI SE,no,no,no,no,no,no,Croatian : yes,"Croatian->French : yes
Croatian->English : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chant traditionnel,,,"Croatia, Balkans, South-Eastern Europe","Croatie, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
DUI DUI DENOMORI,no,no,"Romani lyrics in rhythm : yes
Notes : no
Scale : no
Spanish slow speed : yes
Spanish original speed : yes",no,"Darbouka Original speed : yes
Darbouka Slow speed : yes
Darbouka Rhythmic pattern : yes",yes,Romani : yes,"Romani->English : yes
Romani->French : yes",NA,"French : yes
English : yes",NA,"Teenagers
Adults",Advanced,"Traditional song, Romane Chave","Chant traditionnel, Romane Chave, Tsigane",,"Romani: Affection, attachement, blessing, family, love, need for contact, number, pale face,
youth ","Romania, Central Europe, Eastern Europe, Western Europe","Roumanie, Europe centrale, Europe de l'Est, Europe de l'Ouest",Romani,Romani,TRUE,,,,,,,,,,,
DZIVOS ILGI NE TIK ILGI,no,"Notes : yes
Slow speed : yes
Original speed : yes","Latvian lyrics in rhythm : yes
Notes : yes
Latvian slow speed : yes
Latvian original speed : yes",no,no,yes,Latvian : yes,"Latvian->English : yes
Latvian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional song,Chant traditionnel,,,"Latvia, Northern Europe","Lituanie, Europe du nord",Latvian,Letton,TRUE,,,,,,,,,,,
EDERLEZI/HIDERRELEZ,yes,no,no,no,no,yes,"Plurilingual 1 : yes
Plurilingual 2 : yes","Plurilingual 1->English : yes
Plurilingual 1->French : yes
Plurilingual 2->English : yes 
Plurilingual 2->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Romane Chave, Traditional music","Chant traditionnel, Romane Chave, Tsigane",,"Plurilingual: Celebration, émotions, feeling of abandonment, Romani traditional festival,
 rituals, solitude, spring ",Europe,Europe,Romani,Romani,TRUE,Ete 2024,,,,,,,,,,
EHE GIA PANAGIA,no,no,"Notes : yes
Scale : yes
Greek Slow speed : yes
Greek Original speed : yes
Greek Lyrics in rhythm : yes ",no,no,yes,Greek : yes,"Greek->English : yes
Greek->French : yes",NA,"French : yes
English : yes",NA,"Teenagers
Adults
Seniors",Advanced,Traditional song,Chant traditionnel,,"Greek: Alcohol, celebration, city, dream, journey, love, twilight ","Greece, South-Eastern Europe","Grèce, Europe du Sud-Est",Greek,Grec,TRUE,,,,,,,,,,,
EL AGUAJAL,no,no,"Spanish lyrics in rhythm : yes
Notes : yes
Scale : yes
Spanish slow speed : yes
Spanish original speed : yes",no,no,yes,Spanish : yes,"Spanish->English : yes
Spanish->French: yes",NA,"French : yes
English : yes",NA,"Teenagers
Adults
Seniors",Intermediate,"Cumbia, Traditional song","Cumbia, Chant traditionnel",,"Spanish: Acceptance, anger, breakup, departure, detachement, disappointment, émotions, 
lies, love ","Peru, Latin America, South America","Pérou, Amérique latine, Amérique du Sud",Spanish,Espagnol,TRUE,,,,,,,,,,,
EL PESCADOR,no,no,no,no,no,no,Spanish : yes,"Spanish->English : yes
Spanish->French: yes",NA,no,NA,"Teenagers
Adults",Intermediate,"Cumbia, Traditional song","Cumbia, Chant traditionnel",,,"Colombia, Latin America, South America","Colombie, Amérique latine, Amérique du Sud",Spanish,Espagnol,TRUE,,,,,,,,,,,
ELENKO,yes,no,"Singing Notes : yes
Singing Scale : yes
Bulgarian Slow speed : yes
Bulgarian Original speed : yes
Bulgarian Lyrics in rhythm : yes ",no,no,yes,Bulgarian : yes,"Bulgarian->English : yes
Bulgarian->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Nursery rhyme, Traditional song","Chanson traditionnelle, Comptine",,"Bulgarian: Daily tasks, little girl, nature, urgency, water, youth","Bulgaria, North Macedonia, South-Eastern Europe","Bulgarie, Macédoine du Nord, Europe du Sud-Est",Bulgarian,Bulgare,TRUE,,,,,,,,,,,
ELENO KERKO,yes,no,"Singing Notes : yes
Singing Scale : yes
Macedonian Slow speed : yes
Macedonian  Original speed : yes
Macedonian  Lyrics in rhythm : yes ",no,no,yes,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chant traditionnel,,"Macedonian: Adolescence, communication, émotion, gift, love, Mother-daughter bond, writing ","North Macedonia, South-Eastern Europe","Macédoine du Nord, Europe du Sud-Est",Macedonian,Macédonien,TRUE,,,,,,,,,,,
ELLE DESCEND DE LA MONTAGNE A CHEVAL,no,no,no,no,no,no,"1. French : yes
2. English : yes
3. Italian : yes","1. French->English : yes
2. English->French : yes
3.1. Italian->French : yes
3.2. Italian->English : yes","1. French : ELLE DESCEND DE LA MONTAGNE A CHEVAL
2. English : SHE'LL BE COMING ROUND THE MOUNTAIN
3. Italian : SIAMO ANDATI ALLA CACCIA DEL LEON",no,NA,Chidren,Easy,Nursery rhyme,Comptine,,,North America,Amérique du Nord,English,Anglais,TRUE,,,,,,,,,,,
EMMENEZ-MOI,no,no,no,no,no,no,French : yes,French->English : yes,NA,no,NA,"Teenagers
Adults 
Seniors",Advanced,French chanson,Chanson française,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
EN TEN TINI,yes,yes,BCMS : yes,no,no,yes,BCMS : yes,NA,NA,"French : yes
English : yes",NA,Chidren,Easy,Nursery rhyme,Comptine,,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
EPO I TAI TAI E,no,no,no,no,no,yes,Maori : yes,"Maori->English : yes
Maori->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Children's song, Traditional song, Nursery rhyme","Chanson traditionnelle, chanson enfantine, comptine",,"Maori:  Emotion, humeur, joie, tristesse ","New Zealand, Oceania","Nouvelle-Zélande, Océanie",Maori,Maori,TRUE,,,,,,,,,,,
ES AROON JOORE GALI ,no,no,no,no,no,yes,no-> Maria,"Armenian->English : yes
Armenian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional song, Traditional music, Choir song","Chanson traditionnelle, Musique traditionnelle, Musique pour choeur",,,"Armenia, Western Asia","Arménie, Asie de l'Ouest",Armenian,Arménien,TRUE,,,,,,,,,,,
ES SASS EIN KLEIN WILD VOEGELEIN,yes,no,no,no,no,yes,German : yes,"German->English : yes
German->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,?,,,,"Germany, Western Europe","Allemagne, Europe de l'Ouest",German,Allemand,TRUE,,,,,,,,,,,
ESA ENAI,yes,no,NA,no,no,yes,NA,NA,NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,?,,,,"Central Europe, Eastern Europe, Western Europe","Europe centrale, Europe de l'Est, Europe de l'Ouest",Yiddish,Yiddish,FALSE,,,,,,,,,,,
ESPERANZA L'ARANESA,no,no,no,no,no,no,Gascon : yes,"Gascon->English : no
Gascon->French : no",NA,no,no (scottish),"Adults
",Intermediate,"Traditional song, Traditional music, Scottish dance, Protest song","Musique traditionnelle, Chanson traditionnelle, Danse scottish, Chanson engagée",,,"France, Western Europe","France, Europe de l'Ouest",Gascon,Gascon,TRUE,,,,,,,,,,,
ET MAINTENANT,no,no,no,no,no,no,"1. French  : yes
2. English : yes","1. French->English : yes
2. English->French : yes","1. French : ET MAINTENANT
2. English : WHAT NOW MY LOVE",no,NA,"Adults 
Seniors",Intermediate,French chanson,Chanson française ,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
ET SI TU N'EXISTAIS PAS,no,no,no,no,no,no,"1. French : yes
2. French&Italian : no","1. French->English : yes
2.1. French&Italian->English : no
2.2. French&Italian->French : no","1. French : ET SI TU N'EXISTAIS PAS
2. French&Italian : OASIS",no,NA,"Adults 
Seniors",Intermediate,French chanson,Chanson française ,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
EVO BANKE CIGANE MOJ,no,no,"BCMS lyrics in rhythm : yes
Notes : yes
Scale : yes
BCMS slow speed : yes
BCMS original speed : yes",no,no,yes,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional song, Gipsy song","Chanson traditionnelle, Tsigane",,"BCMS: Belonging, celebration, conviviality, exchange, identity, money, music, party, transaction, Gypsy ","Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
"FAIS DODO, COLAS MON P'TIT FRERE",yes,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Lullaby, Traditional song, Chanson francophone","Berceuse, Chanson traditionnelle, Francophone song",,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
FELIZ NAVIDAD,no,no,no,no,no,no,Plurilingual : yes,"Plurilingual->English : yes
Plurilingual->French : yes",NA vérifier,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,Christmas song,Chant de Noël,,"Plurilingual: Celebration, christmas, cultural traditions, gift, happiness, joy, love, 
mistletoe, nature, religion, sharing, season, winter, wishes","United States of America, Northern America","Etats-Unis, Amérique du Nord",Plurilingual,Plurilingual,TRUE,,,,,,,,,,,
FILD VOLACH,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,?,,,,"Central Europe, Eastern Europe, Western Europe","Europe centrale, Europe de l'Est, Europe de l'Ouest",Yiddish,Yiddish,FALSE,,,,,,,,,,,
FLIC FLAC FLOC,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Coup de froid, eau, jeux d'enfat, joie, malade, météo, pluie, prévetion, 
protéction, son de l'eau",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
FOGGY DEW,yes,no,no,no,no,yes,English : yes,English->French : yes,NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Celtic music, Traditional song","Chant traditionnel, Musique celtique",,"English: Battle, conflict, continuation of life (spring référence), death, daydream, Easter, 
freedom, grief, heroism, hope, independence, Ireland, lutte, patriotism, Religion, 
sacrifice, struggle","Ireland, North-Western Europe","Irlande, Europe du Nord-Ouest",English,Anglais,TRUE,,,,,,,,,,,
FORMIDABLE,no,no,no,no,no,no,French : yes,French->English : yes,NA,no,NA,"Teenagers
Adults
Seniors",Intermediate,"Francophone chanson, French chanson","Chanson française, Chanson francophone",,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
FREILACH BULGAR,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Klezmer, Traditional music","Klezmer, Musique traditionnelle",,,"Central Europe, Eastern Europe, Western Europe","Europe centrale, Europe de l'Est, Europe de l'Ouest",Yiddish,Yiddish,FALSE,,,,,,,,,,,
FRERE JACQUES,yes,yes,"Armenian : yes
English : yes
French : yes
German : yes
Italian : yes
Russian : yes
Spanish : yes
Turkish : yes
Ukrainian : yes
Haitian creole : no",no,no,yes (do without lyrics),"1. Armenian : yes
2. English : yes
3. French : yes
4. German : yes
5. Italian : yes
6. Russian : yes
7. Spanish : yes
8. Turkish : yes
9. Ukrainian : yes
10. Haitian creole : yes","1.1. Armenian->English : yes
1.2. Armenian->French : yes
2. English->French : yes
3. French->English : yes
4.1. German->English : yes
4.2. German->French : yes
5.1. Italian->English : yes
5.2. Italian->French : yes
6.1. Russian->English : yes
6.2. Russian->French : yes
7.1. Spanish->English : yes
7.2. Spanish->Fr : yes
8.1. Turkish->English : yes
8.2. Turkish->French : yes
9.1. Ukrainian->English : yes
9.2. Ukrainian->French : yes
10.1. Haitian creole->English : yes
10.2. Haitian creole->French : yes","1. Armenian : HAGOP YEGHPAYR
2. English : BROTHER JOHN
3. French : FRERE JACQUES
4. German : BRUDER JAKOB
5. Italian : FRA'MARTINO
6. Russian : BRATEC YAKOB
7. Spanish : MARTINILLO
8. Turkish : TEMBEL COCUK
9. Ukrainian : BRATE YAKIV
10. Haitian creole : KONPE BOUKI","French : yes
English : yes","1. Armenian : no
2. English : yes
3. French : yes
4. German : yes
5. Italian : yes
6. Russian : no
7. Spanish : yes
8. Turkish : yes
9. Ukrainian : yes
10. Haitian creole : no",Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Bruit des cloches, cloches,le temps, reveil, routine monastique, sommeil","Armenian: bruit des cloches, cloches, devoir religieux, réveil, sommeil
Creole: Drum, instrument imitation, musical instrument, reponsibility, rhythm, sleep, Wake-up
English: Bell sound, sleep, wake-up 
German: Bells, bell sound, sleep, wake-up 
Italian: Bells, bell sound, sleep, wake-up 
Russian: Bells, bell sound, listen, sleep, time, wake-up
Spanish: bells, bell sound, sleep, wake-up
Turkish: Morning, order, laziness, passage from night to day, time, wake-up 
Ukranian: Bells, bell imitation, sleep, wake-up","1. Armenia, Western Asia
2. United Kingdom, North-Western Europe
3. France, Western Europe
4. Germany, Western Europe
5. Italy, South-Western Europe
6. Russia, Eastern Europe
7. Spain, South-Western Europe
8. Turkey, West of Asia, South-Eastern Europe
9. Ukraine, Eastern Europe
10. Haiti, Caribbean, North America","1. Arménie, Asie de l'Ouest
 2. Royaume-Uni, Europe du Nord-Ouest
 3. France, Europe de l'Ouest
 4. Germany, Europe de l'Ouest
 5. Italy, Europe du Sud
 6. Russia, Europe de l'Est
 7. Spain, Europe du Sud-Ouest
 8. Turquie, Asie de l'Ouest, Europe du Sud-Est
 9. Ukraine, Europe de l'Est
10. Haiti, Caraïbes, Amérique du Nord","1. Armenian
2. English 
3. French
4. German
5. Italian
6. Russian
7. Spanish
8. Turkish
9. Ukrainian
10. Haitian creole","1. Arménien
2. Anglais
3. Français
4. Allemand
5. Italien
6. Russe
7. Espagnol
8. Turc
9. Ukrainien
10. Créole haïtien",TRUE,,,,,,,,,,,
GANDAGANA,,,,,,Muro,Muro,Muro,,Muro,,,,,,,,,,,,,,,,,,,,,,,
GANKINO HORO,yes,no,NA,no,no,yes,NA,NA,NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Advanced,"Traditional dance, Traditional music","Danse traditionnelle, Musique traditionnelle",,,"Bulgaria, South-Eastern Europe","Bulgarie, Europe du Sud-Est",Bulgarian,Bulgare,FALSE,,,,,,,,,,,
GAUDEAMUS HODIE,yes,no,Lat : yes,no,no,yes,Latin : yes,"Latin->English : yes
Latin->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Cannon, Polyphonic song","Canon, Chant polyphonique",,"Latin: freedom, joy, seize the moment, unity ","Germany, Western Europe","Allemagne, Europe de l'Ouest",Latin,Latin,TRUE,,,,,,,,,,,
GOCA DUNYA,no,no,no,no,no,no,Turkish : yes,"Turkish->English : yes
Turkish->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,"Traditional song, Traditional music","Chant traditionnel, Musique traditionnelle",,,"Turkey, Western Asia, South-Eastern Europe","Turquie, Asie de l'Ouest, Europe du Sud-Est",Turkish,Turc,TRUE,,,,,,,,,,,
GREENSLEEVES,no,no,no,no,no,yes,English : yes,English->French : yes,NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional song, Medieval song","Chant traditionnel, Chant médiéval",,"English: Adiration, émotions, God, grief, hope, idealization of love, loyality, religion, 
self-sacrifice, suffering, unrequited love","England, North-Western Europe","Angleterre, Europe du Nord-Ouest",English,Anglais,VRAI,,,,,,,,,,,
HAD GADIA,"1. no
2. yes
3. no",no,no,no,no,no,2. Italian : yes,"2.1. Italian->French : yes
2.2. Italian->English : yes","1. Judaeo-Aramaic : HAD GADIA
2. Italian : ALLA FIERA DELL'EST
3. French : A LA FOIRE DE L'EST","1. no
2.1. French : yes
2.2. English : yes",NA,Children,Easy,Children's song,Chanson enfantine,,"Italian: Animals, bull, cat, cycle, dog, fair, father, fire, mouse, natural element, purchase, water
",,,Judaeo-Aramaic,Judéo-araméen,TRUE,,,,,,,,,,,
